"","Council","","2013","2014","2015","2016","2017","2019","2023"
"1","Aberdeen City","Every day / Several times a week","29.8","35","33.1","33.6","35.9","31.9","35.6"
"2","Aberdeen City","Once a week","14.1","10.6","12.5","12.8","11.7","17.2","15.9"
"3","Aberdeen City","Once a month","17.6","18","20","22.4","16","18.9","17.5"
"4","Aberdeen City","Less often","15.8","9.2","10.2","11.2","14.3","12.2","8.7"
"5","Aberdeen City","Not at all","22.8","26.8","24.2","19.4","22.1","19.4","22.4"
"6","Aberdeen City","Don't know","-","0.5","-","0.5","-","0.5","-"
"7","Aberdeen City","All","100","100","100","100","100","100","100"
"8","Aberdeen City","Base","310","280","280","290","340","300","290"
"9","Aberdeenshire","Every day / Several times a week","42","43","42.2","41.4","35.3","37.6","35.1"
"10","Aberdeenshire","Once a week","11","11.9","14.1","12.7","12.5","10","13.9"
"11","Aberdeenshire","Once a month","9.4","12.9","11.7","11.6","14","14.9","15.9"
"12","Aberdeenshire","Less often","11.2","9.5","9.8","11.2","10.9","12","11.9"
"13","Aberdeenshire","Not at all","26.3","22.6","22.3","23","27.2","25.5","23.2"
"14","Aberdeenshire","Don't know","-","-","-","-","-","-","-"
"15","Aberdeenshire","All","100","100","100","100","100","100","100"
"16","Aberdeenshire","Base","300","300","280","320","320","340","330"
"17","Angus","Every day / Several times a week","52.8","47.7","45","45.1","36.4","44.8","52.5"
"18","Angus","Once a week","15.9","12.3","16","13.4","16.4","10.4","9.3"
"19","Angus","Once a month","9.9","15.8","15","12.4","18","13.5","15.4"
"20","Angus","Less often","7","8.1","8.3","13.4","12.4","13.7","9"
"21","Angus","Not at all","14.3","15.8","15","15.6","16.8","17.2","13.8"
"22","Angus","Don't know","-","0.3","0.7","-","-","0.4","-"
"23","Angus","All","100","100","100","100","100","100","100"
"24","Angus","Base","220","250","240","230","230","230","190"
"25","Argyll and Bute","Every day / Several times a week","47.8","42.2","32.9","44.9","38","39.4","50.1"
"26","Argyll and Bute","Once a week","9","8.8","13.7","7.8","9.4","5.3","9.8"
"27","Argyll and Bute","Once a month","15.6","13.4","9.9","14.2","11.8","11.4","10.5"
"28","Argyll and Bute","Less often","11.5","9.3","10.9","14.7","7.7","9.9","7.1"
"29","Argyll and Bute","Not at all","16.1","26.3","32","18.4","33.1","34.1","22"
"30","Argyll and Bute","Don't know","-","-","0.6","-","-","-","0.4"
"31","Argyll and Bute","All","100","100","100","100","100","100","100"
"32","Argyll and Bute","Base","250","270","240","230","230","220","230"
"33","Clackmannanshire","Every day / Several times a week","31","45.1","42.1","28.6","36.3","48","45.2"
"34","Clackmannanshire","Once a week","8.8","10.7","11.2","11","8.2","13.3","13.3"
"35","Clackmannanshire","Once a month","14.6","15.6","12.7","10.3","9.1","11.4","9.8"
