"","Council","Satisfaction","2007/2008","2009/2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2022","2023"
"1","Aberdeen City","Very/fairly satisfied","42.9","39.5","43.5","44.8","50.9","53.9","46.6","51.9","53.8","52.3","34.2","35.6","26.9"
"2","Aberdeen City","Neither satisfied nor dissatisfied","11","13","14.1","11.7","16.5","18.4","13.5","12.4","20.2","14","8","10.9","18.9"
"3","Aberdeen City","Very/fairly dissatisfied","11.4","17.9","12.4","6.7","6.3","6.2","5.6","6.4","3.1","5.8","6.4","6.2","3"
"4","Aberdeen City","No opinion","34.6","29.6","30.1","36.8","26.3","21.5","34.4","29.3","22.9","27.9","51.4","47.3","51.2"
"5","Aberdeen City","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"6","Aberdeen City","Base","720","680","350","300","310","290","280","290","350","330","300","250","300"
"7","Aberdeenshire","Very/fairly satisfied","48.5","40.5","42.4","43.1","51.6","44.4","50.1","52.5","57.4","46.2","47","43.5","48.6"
"8","Aberdeenshire","Neither satisfied nor dissatisfied","9.5","12.6","14.4","7.2","12","17.6","8.4","17.3","14.1","12.1","10.8","11.8","14"
"9","Aberdeenshire","Very/fairly dissatisfied","11.2","11.7","8.4","8.8","10.2","5.8","5.1","7.6","9.5","9.9","13.3","7.6","7.9"
"10","Aberdeenshire","No opinion","30.8","35.2","34.8","40.9","26.3","32.3","36.4","22.7","19","31.9","28.9","37.1","29.5"
"11","Aberdeenshire","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"12","Aberdeenshire","Base","1010","900","460","310","300","300","280","320","320","360","340","310","340"
"13","Angus","Very/fairly satisfied","55.7","52.9","56.7","45.2","57.2","48.7","49.5","56.2","49.1","55.2","55.6","40.9","50.2"
"14","Angus","Neither satisfied nor dissatisfied","11.5","7.5","7.9","14.7","15","11.5","14.6","7.4","10.2","12.9","13.6","28.1","25.2"
"15","Angus","Very/fairly dissatisfied","7.1","4.1","4.2","5.1","2.2","5.6","2.5","5.4","3.4","9.6","5.4","6.7","5"
"16","Angus","No opinion","25.7","35.4","31.1","35","25.6","34.2","33.4","31","37.3","22.3","25.4","24.3","19.6"
"17","Angus","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"18","Angus","Base","360","370","180","250","220","260","240","230","240","210","230","220","200"
"19","Argyll and Bute","Very/fairly satisfied","44.6","36.5","38.4","31.7","46.5","36.2","25.5","44.9","34.9","29.2","34.3","44.4","45.2"
"20","Argyll and Bute","Neither satisfied nor dissatisfied","11.9","7.8","8","18.8","11.4","7.8","3.2","8.8","6","4.6","11","5.2","9.2"
"21","Argyll and Bute","Very/fairly dissatisfied","16.6","16.6","16.6","10.3","14","10.7","11.7","10.2","11.7","4.5","7.8","8.3","5.5"
"22","Argyll and Bute","No opinion","26.8","39.1","36.9","39.3","28.2","45.3","59.7","36","47.3","61.7","47","42.1","40"
"23","Argyll and Bute","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"24","Argyll and Bute","Base","570","470","200","250","250","270","250","240","250","240","240","250","240"
"25","Clackmannanshire","Very/fairly satisfied","44.6","41","52.4","40.9","35.3","42.1","40.7","30.5","28.6","39.5","30.6","20.3","16.5"
"26","Clackmannanshire","Neither satisfied nor dissatisfied","14.2","7.9","7.6","6.7","9","4.4","6.1","4.5","7.1","17.1","7.5","18.9","11.5"
"27","Clackmannanshire","Very/fairly dissatisfied","12.6","9","7","6.9","7.3","5.7","2.4","3.8","2.7","7.2","7.1","37.4","28.5"
"28","Clackmannanshire","No opinion","28.6","42.1","33","45.5","48.4","47.7","50.8","61.1","61.6","36.2","54.7","23.5","43.4"
"29","Clackmannanshire","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"30","Clackmannanshire","Base","380","340","190","260","280","250","240","240","270","210","210","210","230"
"31","Dumfries and Galloway","Very/fairly satisfied","47.3","53.9","49.5","38.9","46.8","44.2","32.5","31","25.9","24.7","22.8","37.8","34.4"
"32","Dumfries and Galloway","Neither satisfied nor dissatisfied","7.4","7.5","8.5","8.5","9.3","14.6","9.7","16.2","24.1","22.3","7.5","22.3","18.8"
"33","Dumfries and Galloway","Very/fairly dissatisfied","15.6","11.3","5.9","13.6","13.6","17.7","30","24.8","19.3","21.2","28.9","4.3","9.8"
"34","Dumfries and Galloway","No opinion","29.7","27.3","36.1","39","30.3","23.5","27.8","28","30.7","31.8","40.8","35.5","37"
"35","Dumfries and Galloway","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"36","Dumfries and Galloway","Base","640","600","290","240","230","230","230","250","250","240","260","320","250"
"37","Dundee City","Very/fairly satisfied","49.5","47.5","47.3","32.6","46.2","57.4","63.1","61.2","56","51.2","59.6","38","29.9"
"38","Dundee City","Neither satisfied nor dissatisfied","17.1","8","3.2","7.7","10.7","11.5","13.2","15.4","17.2","20.2","19.6","14.8","22.3"
"39","Dundee City","Very/fairly dissatisfied","4.6","3.7","3.3","3.5","6","3.9","3.6","3.9","5.6","1.2","4.3","15.4","19.2"
"40","Dundee City","No opinion","28.8","40.7","46.2","56.2","37.1","27.2","20","19.5","21.2","27.5","16.6","31.8","28.5"
"41","Dundee City","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"42","Dundee City","Base","460","490","260","250","250","250","240","230","230","250","220","230","210"
"43","East Ayrshire","Very/fairly satisfied","39.8","38.7","39.7","35.6","39.8","42.3","37.9","42.5","34.9","32.1","38","45.7","46.2"
"44","East Ayrshire","Neither satisfied nor dissatisfied","13.6","10.1","6.2","5.6","4","10","8","9.6","7.8","9.3","8.9","16.1","16.8"
"45","East Ayrshire","Very/fairly dissatisfied","9.9","9.1","5.4","3.9","5","5.2","5.6","4.7","8.5","10.3","7.6","11.1","10.6"
"46","East Ayrshire","No opinion","36.7","42.1","48.8","55","51.2","42.6","48.5","43.2","48.8","48.3","45.5","27.1","26.4"
"47","East Ayrshire","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"48","East Ayrshire","Base","440","390","220","220","190","230","220","210","250","240","260","200","230"
"49","East Dunbartonshire","Very/fairly satisfied","58.3","49.3","39","48.4","48.9","58","48.7","47.7","52.5","41.9","51.9","41.8","44.2"
"50","East Dunbartonshire","Neither satisfied nor dissatisfied","7.6","4","3.5","1.9","3.7","6.2","13.1","12.6","13.2","11.5","7.6","23.6","30.1"
"51","East Dunbartonshire","Very/fairly dissatisfied","11","7.8","6.3","5.6","13.5","3.3","5.9","2.7","6.4","5.5","8.8","4.3","6.8"
"52","East Dunbartonshire","No opinion","23","38.9","51.1","44.2","33.9","32.4","32.3","37","27.9","41","31.8","30.2","18.8"
"53","East Dunbartonshire","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"54","East Dunbartonshire","Base","350","320","170","260","250","220","240","260","230","260","260","230","240"
"55","East Lothian","Very/fairly satisfied","55.1","50.3","51.4","63.8","55","58.9","66.5","50.4","47.5","48.9","52.3","46.3","44.5"
"56","East Lothian","Neither satisfied nor dissatisfied","9.2","7.8","3.1","2.4","5.5","9","17.3","17.8","21.6","19.7","6.6","7.3","9.1"
"57","East Lothian","Very/fairly dissatisfied","5.7","4.2","5.4","2.7","2.2","0.6","1.7","3.2","2.8","6","4.7","1.9","4.4"
"58","East Lothian","No opinion","30","37.7","40.1","31.2","37.2","31.5","14.5","28.7","28.1","25.4","36.4","44.5","42"
"59","East Lothian","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"60","East Lothian","Base","420","430","220","240","230","220","210","290","260","250","270","250","260"
