"","Council","serv2a","2007/2008","2009/2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2022","2023"
"1","Aberdeen City","Have used in the past year","40.6","38.4","37.9","28.3","36.8","41.9","42.9","36.4","36.5","36.5","22.2","26.3","19.9"
"2","Aberdeen City","Not used in the past year","19.1","24","19.8","21.1","24.9","24.7","13.8","18.5","21.6","17.1","9.3","17.2","23.3"
"3","Aberdeen City","Never used","39.9","37.6","41.8","50.6","37.9","32.3","42.6","45.1","41.3","45.6","66.9","55.4","54.1"
"4","Aberdeen City","Don't know","0.3","-","0.5","-","0.4","1.1","0.6","-","0.6","0.8","1.7","1.2","2.7"
"5","Aberdeen City","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"6","Aberdeen City","Base","720","680","350","300","310","290","280","290","350","330","300","250","300"
"7","Aberdeenshire","Have used in the past year","38","32","30.8","31.3","33.2","34.3","35.1","34","33.9","26.7","35.9","31","34.8"
"8","Aberdeenshire","Not used in the past year","14.5","15.9","20","15.7","20.9","23.9","20.6","22.4","23","13.1","14.6","19.7","22.4"
"9","Aberdeenshire","Never used","47.2","51.7","49.2","52.9","45.8","41.2","44.3","43.3","43.1","60.1","48.1","48.7","42.3"
"10","Aberdeenshire","Don't know","0.3","0.4","-","-","-","0.6","-","0.3","-","-","1.4","0.6","0.5"
"11","Aberdeenshire","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"12","Aberdeenshire","Base","1010","900","460","310","300","300","280","320","320","360","340","310","340"
"13","Angus","Have used in the past year","39.2","34.7","31.8","30.1","33.4","34.1","33.1","42.1","25.8","34.6","37.8","19.4","28.4"
"14","Angus","Not used in the past year","13.6","17.7","25.6","20.5","25.8","16.8","23.4","20.5","22.5","17.2","19.4","20.4","27.5"
"15","Angus","Never used","46.6","47.1","42.5","49.5","40.8","49.2","43.6","37.4","51.7","47.4","42.1","59.5","43.9"
"16","Angus","Don't know","0.6","0.5","-","-","-","-","-","-","-","0.8","0.7","0.7","0.3"
"17","Angus","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"18","Angus","Base","360","370","180","250","220","260","240","230","240","210","230","220","200"
"19","Argyll and Bute","Have used in the past year","35.1","31.3","31.3","25.2","33.4","31.3","26.8","37.5","31.9","31.3","29.3","27.6","32.9"
"20","Argyll and Bute","Not used in the past year","20.9","24.3","25","19.1","22.3","24.4","17.1","22.5","21.2","22.8","21.9","37.9","28.7"
"21","Argyll and Bute","Never used","43.7","44.3","43.8","54.1","43.8","44.1","55.7","39.8","46.9","45.5","48.7","34.5","38.4"
"22","Argyll and Bute","Don't know","0.3","0.1","-","1.6","0.4","0.3","0.4","0.2","-","0.4","-","-","-"
"23","Argyll and Bute","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"24","Argyll and Bute","Base","570","470","200","250","250","270","250","240","250","240","240","250","240"
"25","Clackmannanshire","Have used in the past year","42.9","36.8","38.1","38.8","32.1","32","29.2","20.4","26.3","42","26","16.3","17"
"26","Clackmannanshire","Not used in the past year","14.5","21.7","38.6","30.4","35.7","33.2","36.8","27","29.8","30.2","33.9","51","59.7"
"27","Clackmannanshire","Never used","42.6","41.3","23","30","32.2","34.9","33.6","52.6","41.2","27.8","40.1","30.8","22.6"
"28","Clackmannanshire","Don't know","-","0.2","0.4","0.8","-","-","0.4","-","2.8","-","-","1.9","0.6"
"29","Clackmannanshire","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"30","Clackmannanshire","Base","380","340","190","260","280","250","240","240","270","210","210","210","230"
"31","Dumfries and Galloway","Have used in the past year","34.8","38.6","35.1","34.4","32.3","32.7","22.5","21.7","22","23.3","22.1","27","27.6"
"32","Dumfries and Galloway","Not used in the past year","22.3","24.4","20.1","12.4","19.4","16.3","16.7","28.8","36.4","20.9","16.1","40.8","40.5"
"33","Dumfries and Galloway","Never used","41.4","36.6","44.9","52.9","46.9","51","60.8","49.5","41.1","55.6","61.8","32","31.9"
"34","Dumfries and Galloway","Don't know","1.5","0.4","-","0.4","1.5","-","-","-","0.5","0.2","-","0.3","-"
"35","Dumfries and Galloway","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"36","Dumfries and Galloway","Base","640","600","290","240","230","230","230","250","250","240","260","320","250"
"37","Dundee City","Have used in the past year","32.9","35","30.5","24.9","29.3","30","35.9","46.4","34.2","27.7","29.8","19.1","24.5"
"38","Dundee City","Not used in the past year","13.4","16.5","22.1","16.4","22.8","23.7","23.3","21.9","18.7","15.5","39.5","30.7","25.2"
"39","Dundee City","Never used","52.6","48.1","47.2","58.3","48","46.2","40.8","31.7","47.1","56.6","30.7","49.3","50.3"
"40","Dundee City","Don't know","1.1","0.4","0.2","0.4","-","-","-","-","-","0.3","-","0.9","-"
"41","Dundee City","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"42","Dundee City","Base","460","490","260","250","250","250","240","230","230","250","220","230","210"
"43","East Ayrshire","Have used in the past year","31.5","31.6","29.3","29.6","35.9","31.8","25.3","34.9","32.7","32.2","30.6","32.1","31.7"
"44","East Ayrshire","Not used in the past year","18.5","29","35.4","27","20.5","23.6","28.1","23.1","18.1","25","28","41.1","39.4"
"45","East Ayrshire","Never used","49.5","39.2","35.3","43.3","43.6","44.2","46.6","41.8","48.9","42.9","41.1","26.4","29"
"46","East Ayrshire","Don't know","0.5","0.2","-","-","-","0.5","-","0.2","0.3","-","0.3","0.4","-"
"47","East Ayrshire","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"48","East Ayrshire","Base","440","390","220","220","190","230","220","210","250","240","260","200","230"
"49","East Dunbartonshire","Have used in the past year","47.5","49.3","37.7","40.8","39.5","49","43.8","42.1","39.8","36.4","43.9","39","45"
"50","East Dunbartonshire","Not used in the past year","14.8","25.5","41","31.1","31.5","19.3","27.2","28.3","35.9","37.1","26.9","20.1","18.5"
"51","East Dunbartonshire","Never used","37.7","25.1","21.3","28.1","27.7","30.3","29","29.4","24.3","26.2","29","40.7","35.9"
"52","East Dunbartonshire","Don't know","-","-","-","-","1.3","1.5","-","0.2","-","0.3","0.2","0.2","0.6"
"53","East Dunbartonshire","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"54","East Dunbartonshire","Base","350","320","170","260","250","220","240","260","230","260","260","230","240"
"55","East Lothian","Have used in the past year","45.2","46","41","49","48.2","44.1","46.8","46.2","41.5","39.1","47.2","36.9","41.7"
"56","East Lothian","Not used in the past year","15","15.7","23.8","15.1","17.1","14.1","10.1","14.2","15.8","19.3","23.6","35.6","37.5"
"57","East Lothian","Never used","39.6","38.2","35.2","35.9","34.7","41.8","43.1","39","42.7","41.6","29.2","27.5","20.8"
"58","East Lothian","Don't know","0.1","0.1","-","-","-","-","-","0.6","-","-","-","-","-"
"59","East Lothian","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"60","East Lothian","Base","420","430","220","240","230","220","210","290","260","250","270","250","260"
"61","East Renfrewshire","Have used in the past year","40.4","38.2","46.9","42.4","36.2","36.3","49.4","41.5","42.4","42.7","37.8","27.7","40.9"
"62","East Renfrewshire","Not used in the past year","13.7","28.1","28.8","21.5","29.9","34.3","25","21.6","34.5","40.5","35.8","40.1","34.4"
"63","East Renfrewshire","Never used","45.3","33.8","24.3","36.1","33.7","29.4","25.6","36.9","23.1","16.8","26.2","32.2","24.7"
"64","East Renfrewshire","Don't know","0.5","-","-","-","0.2","-","-","-","-","-","0.2","-","-"
"65","East Renfrewshire","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"66","East Renfrewshire","Base","330","340","160","210","260","220","260","230","230","250","240","230","210"
"67","Edinburgh, City of","Have used in the past year","42.7","39.3","43.4","41.3","37.1","34.6","37.1","33.3","40.2","40.4","33.7","22.6","32.7"
"68","Edinburgh, City of","Not used in the past year","10.9","17.2","17.3","19.3","29.9","27.3","30.8","26.5","25.4","17.4","32.4","54.3","39.1"
"69","Edinburgh, City of","Never used","45.3","42.7","39.3","39.2","32.9","38","32","39.9","34","42.1","33.8","23.1","28.2"
"70","Edinburgh, City of","Don't know","1","0.7","0.1","0.2","0.1","0.1","-","0.4","0.4","-","0.1","-","-"
"71","Edinburgh, City of","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"72","Edinburgh, City of","Base","1410","1450","750","720","750","710","630","720","700","780","840","1010","830"
"73","Falkirk","Have used in the past year","41","38.9","41.6","36.4","43.3","38.4","37.3","30.4","48.9","50.1","38","29.1","28.3"
"74","Falkirk","Not used in the past year","27.3","30.6","33.9","28.1","34.2","48.9","44.8","45.7","31.2","29.4","34.6","45.2","59.6"
"75","Falkirk","Never used","31.4","30.4","24.5","34.5","22.5","12.7","18","23.9","19.9","20.5","27.4","25.7","12.1"
"76","Falkirk","Don't know","0.3","0.1","-","1","-","-","-","-","-","-","-","-","-"
"77","Falkirk","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"78","Falkirk","Base","440","430","230","240","240","260","260","250","260","210","220","200","220"
"79","Fife","Have used in the past year","36.4","36.2","32.1","38.8","33.8","36.5","35.8","34.8","39","33.1","33.6","27.1","23.7"
"80","Fife","Not used in the past year","15.6","20.6","26.4","18.4","30.1","27.6","31.5","23.3","29.4","33.4","28.5","38.4","43.6"
"81","Fife","Never used","47.3","43","41.1","41.9","35.9","35.9","32.3","41.8","31.4","33.5","37.5","34.4","32.7"
"82","Fife","Don't know","0.8","0.2","0.3","0.9","0.2","-","0.4","-","0.2","-","0.4","-","-"
"83","Fife","All","100","100","100","100","100","100","100","100","100","100","100","100","100"
"84","Fife","Base","1340","1250","630","480","510","490","470","480","460","520","480","450","480"
"85","Glasgow City","Have used in the past year","40.4","38.5","37.2","39.3","39.7","38.6","36","34.7","39.6","34.7","35.7","28","30.6"
"86","Glasgow City","Not used in the past year","14.1","19.3","23.1","18.9","26","25.3","26.3","26","35.8","40.8","33.4","26.2","22.4"
