"","Council","Walking distance","2013","2014","2015","2016","2017","2018","2019","2022","2023"
"1","Aberdeen City","In 5 minutes","64.4","74.5","59.3","61.5","56.7","57.9","52.1","50.8","59.4"
"2","Aberdeen City","6 to 10 minutes","15.8","14.9","25","17.7","19.6","23.7","20.6","22.3","25.5"
"3","Aberdeen City","11 minute walk or more","19.1","9","15.2","19.6","20.7","16.8","25.8","25.8","12.6"
"4","Aberdeen City","Don't know","0.7","1.6","0.5","1.1","2.9","1.5","1.5","1.1","2.5"
"5","Aberdeen City","All","100","100","100","100","100","100","100","100","100"
"6","Aberdeen City","Base","310","290","280","290","350","330","300","250","300"
"7","Aberdeenshire","In 5 minutes","67.6","70.7","72.4","70.6","65.4","79.9","63.1","71.1","61.7"
"8","Aberdeenshire","6 to 10 minutes","11.3","15.1","12.8","9.1","15.7","8.2","14.1","14.4","20"
"9","Aberdeenshire","11 minute walk or more","20","13","13.4","20","18.9","11.9","22","13.3","15.6"
"10","Aberdeenshire","Don't know","1.1","1.1","1.4","0.3","-","-","0.8","1.2","2.7"
"11","Aberdeenshire","All","100","100","100","100","100","100","100","100","100"
"12","Aberdeenshire","Base","300","300","280","320","320","360","340","310","340"
"13","Angus","In 5 minutes","83.5","68.5","75.3","61.1","62.4","63.6","65.5","68.4","78.7"
"14","Angus","6 to 10 minutes","11.3","18.5","14.7","25.3","21.8","18.3","18","18.6","11.4"
"15","Angus","11 minute walk or more","3.7","11.3","9.3","12.9","13","17","14.2","13","7"
"16","Angus","Don't know","1.4","1.7","0.6","0.8","2.7","1.1","2.4","-","2.9"
"17","Angus","All","100","100","100","100","100","100","100","100","100"
"18","Angus","Base","220","260","240","230","240","210","230","220","200"
"19","Argyll and Bute","In 5 minutes","70.2","68.1","63.4","64.6","61.3","74.1","59.6","74.5","73.2"
"20","Argyll and Bute","6 to 10 minutes","18.8","17.3","22.2","19","21.1","14.9","17.9","16.4","16.2"
"21","Argyll and Bute","11 minute walk or more","10.2","12.7","8.4","12.9","8.2","6.3","14.9","7.7","6.7"
"22","Argyll and Bute","Don't know","0.8","2","6","3.5","9.5","4.7","7.6","1.4","3.9"
"23","Argyll and Bute","All","100","100","100","100","100","100","100","100","100"
"24","Argyll and Bute","Base","250","270","250","240","250","240","240","250","240"
"25","Clackmannanshire","In 5 minutes","70.8","79.1","67.9","68.3","78.9","67.4","78.1","86.4","81.8"
"26","Clackmannanshire","6 to 10 minutes","20.2","19.2","23.4","24.2","12","15.5","15.6","10","14.9"
"27","Clackmannanshire","11 minute walk or more","8.4","1.4","8","7.1","8.7","16.1","6","2.6","3.1"
"28","Clackmannanshire","Don't know","0.5","0.4","0.6","0.5","0.5","0.9","0.2","0.9","0.2"
"29","Clackmannanshire","All","100","100","100","100","100","100","100","100","100"
"30","Clackmannanshire","Base","280","250","240","240","270","210","210","210","230"
"31","Dumfries and Galloway","In 5 minutes","88","90.6","85.5","68.4","71.5","83.8","85","59.8","51.7"
"32","Dumfries and Galloway","6 to 10 minutes","8.4","6.8","8","17.5","12.1","9.3","8.7","29.9","33.1"
"33","Dumfries and Galloway","11 minute walk or more","3.6","2.6","6.1","12.9","15.5","6.5","6.1","9","12.3"
"34","Dumfries and Galloway","Don't know","-","-","0.4","1.3","0.9","0.4","0.2","1.3","2.9"
"35","Dumfries and Galloway","All","100","100","100","100","100","100","100","100","100"
"36","Dumfries and Galloway","Base","230","230","230","250","250","240","260","320","250"
