Years,Area name,Frequency of use nearest green space,Percentage
2013,Aberdeen City,Every day / Several times a week,29.8
2013,Aberdeen City,Once a week,14.1
2013,Aberdeen City,Once a month,17.6
2013,Aberdeen City,Less often,15.8
2013,Aberdeen City,Not at all,22.8
2013,Aberdeen City,Base,310
2013,Aberdeen City,Every day / Several times a week,16.33
2013,Aberdeen City,Once a week,15.1
2013,Aberdeen City,Once a month,13.87
2013,Aberdeen City,Less often,12.64
2013,Aberdeen City,Not at all,11.41
2014,Aberdeen City,Every day / Several times a week,35
2014,Aberdeen City,Once a week,10.6
2014,Aberdeen City,Once a month,18
2014,Aberdeen City,Less often,9.2
2014,Aberdeen City,Not at all,26.8
2014,Aberdeen City,Don't know,0.5
2014,Aberdeen City,Base,280
2014,Aberdeen City,Every day / Several times a week,53.07
2014,Aberdeen City,Once a week,54.27
2014,Aberdeen City,Once a month,55.48
2014,Aberdeen City,Less often,56.69
2014,Aberdeen City,Not at all,57.89
2014,Aberdeen City,Don't know,59.1
2015,Aberdeen City,Every day / Several times a week,33.1
2015,Aberdeen City,Once a week,12.5
2015,Aberdeen City,Once a month,20
2015,Aberdeen City,Less often,10.2
2015,Aberdeen City,Not at all,24.2
2015,Aberdeen City,Base,280
2015,Aberdeen City,Every day / Several times a week,13.97
2015,Aberdeen City,Once a week,11.96
2015,Aberdeen City,Once a month,9.95
2015,Aberdeen City,Less often,7.94
2015,Aberdeen City,Not at all,5.93
2016,Aberdeen City,Every day / Several times a week,33.6
2016,Aberdeen City,Once a week,12.8
2016,Aberdeen City,Once a month,22.4
2016,Aberdeen City,Less often,11.2
2016,Aberdeen City,Not at all,19.4
2016,Aberdeen City,Don't know,0.5
2016,Aberdeen City,Base,290
2016,Aberdeen City,Every day / Several times a week,53.95
2016,Aberdeen City,Once a week,55.18
2016,Aberdeen City,Once a month,56.41
2016,Aberdeen City,Less often,57.63
2016,Aberdeen City,Not at all,58.86
2016,Aberdeen City,Don't know,60.09
2017,Aberdeen City,Every day / Several times a week,35.9
2017,Aberdeen City,Once a week,11.7
2017,Aberdeen City,Once a month,16
2017,Aberdeen City,Less often,14.3
2017,Aberdeen City,Not at all,22.1
2017,Aberdeen City,Base,340
2017,Aberdeen City,Every day / Several times a week,12.5
2017,Aberdeen City,Once a week,10
2017,Aberdeen City,Once a month,7.5
2017,Aberdeen City,Less often,5
2017,Aberdeen City,Not at all,2.5
2019,Aberdeen City,Every day / Several times a week,31.9
2019,Aberdeen City,Once a week,17.2
2019,Aberdeen City,Once a month,18.9
2019,Aberdeen City,Less often,12.2
2019,Aberdeen City,Not at all,19.4
2019,Aberdeen City,Don't know,0.5
2019,Aberdeen City,Base,300
2019,Aberdeen City,Every day / Several times a week,55.73
2019,Aberdeen City,Once a week,57.1
2019,Aberdeen City,Once a month,58.47
2019,Aberdeen City,Less often,59.84
2019,Aberdeen City,Not at all,61.2
2019,Aberdeen City,Don't know,62.57
2023,Aberdeen City,Every day / Several times a week,35.6
2023,Aberdeen City,Once a week,15.9
2023,Aberdeen City,Once a month,17.5
2023,Aberdeen City,Less often,8.7
2023,Aberdeen City,Not at all,22.4
2023,Aberdeen City,Base,290
2023,Aberdeen City,Every day / Several times a week,9.94
2023,Aberdeen City,Once a week,6.58
2023,Aberdeen City,Once a month,3.22
2013,Aberdeenshire,Every day / Several times a week,42
2013,Aberdeenshire,Once a week,11
2013,Aberdeenshire,Once a month,9.4
2013,Aberdeenshire,Less often,11.2
2013,Aberdeenshire,Not at all,26.3
2014,Aberdeenshire,Every day / Several times a week,43
2014,Aberdeenshire,Once a week,11.9
2014,Aberdeenshire,Once a month,12.9
2014,Aberdeenshire,Less often,9.5
2014,Aberdeenshire,Not at all,22.6
2015,Aberdeenshire,Every day / Several times a week,42.2
2015,Aberdeenshire,Once a week,14.1
2015,Aberdeenshire,Once a month,11.7
2015,Aberdeenshire,Less often,9.8
2015,Aberdeenshire,Not at all,22.3
2016,Aberdeenshire,Every day / Several times a week,41.4
2016,Aberdeenshire,Once a week,12.7
2016,Aberdeenshire,Once a month,11.6
2016,Aberdeenshire,Less often,11.2
2016,Aberdeenshire,Not at all,23
2017,Aberdeenshire,Every day / Several times a week,35.3
2017,Aberdeenshire,Once a week,12.5
2017,Aberdeenshire,Once a month,14
2017,Aberdeenshire,Less often,10.9
2017,Aberdeenshire,Not at all,27.2
2019,Aberdeenshire,Every day / Several times a week,37.6
2019,Aberdeenshire,Once a week,10
2019,Aberdeenshire,Once a month,14.9
2019,Aberdeenshire,Less often,12
2019,Aberdeenshire,Not at all,25.5
